daydate	dayprecip	dayevapor
1998/4/1 00:00:00	0.3	0
1998/4/2 00:00:00	0.3	0
1998/4/3 00:00:00	0.3	0
1998/4/4 00:00:00	0.3	0
1998/4/5 00:00:00	0.3	0
1998/4/6 00:00:00	0.3	0
1998/4/7 00:00:00	0.3	0
1998/4/8 00:00:00	0.3	0
1998/4/9 00:00:00	0.3	0
1998/4/10 00:00:00	0.3	0
1998/4/11 00:00:00	0.3	0
1998/4/12 00:00:00	0.3	0
1998/4/13 00:00:00	0.3	0
1998/4/14 00:00:00	0.3	0
1998/4/15 00:00:00	0.3	0
1998/4/16 00:00:00	0.3	0
1998/4/17 00:00:00	0.3	0
1998/4/18 00:00:00	0.3	0
1998/4/19 00:00:00	0.3	0
1998/4/20 00:00:00	0.3	0
1998/4/21 00:00:00	0.3	0
1998/4/22 00:00:00	0.3	0
1998/4/23 00:00:00	0.3	0
1998/4/24 00:00:00	0.3	0
1998/4/25 00:00:00	0.3	0
1998/4/26 00:00:00	0.3	0
1998/4/27 00:00:00	0.3	0
1998/4/28 00:00:00	0.3	0
1998/4/29 00:00:00	0.3	0
1998/4/30 00:00:00	0.3	0
1998/5/1 00:00:00	0.3	0
1998/5/2 00:00:00	0.3	0
1998/5/3 00:00:00	0.3	0
1998/5/4 00:00:00	0.3	0
1998/5/5 00:00:00	0.3	0
1998/5/6 00:00:00	0.3	0
1998/5/7 00:00:00	0.3	0
1998/5/8 00:00:00	0.3	0
1998/5/9 00:00:00	0.3	0
1998/5/10 00:00:00	0.3	0
1998/5/11 00:00:00	0.3	0
1998/5/12 00:00:00	0.3	0
1998/5/13 00:00:00	0.3	0
1998/5/14 00:00:00	0.3	0
1998/5/15 00:00:00	0.3	0
1998/5/16 00:00:00	0.3	0
1998/5/17 00:00:00	0.3	0
1998/5/18 00:00:00	0.3	0
1998/5/19 00:00:00	0.3	0
1998/5/20 00:00:00	0.3	0
1998/5/21 00:00:00	0.3	0
1998/5/22 00:00:00	0.3	0
1998/5/23 00:00:00	0.3	0
1998/5/24 00:00:00	0.3	0
1998/5/25 00:00:00	0.3	0
1998/5/26 00:00:00	0.3	0
1998/5/27 00:00:00	0.3	0
1998/5/28 00:00:00	0.3	0
1998/5/29 00:00:00	0.3	0
1998/5/30 00:00:00	0.3	0
